M1,P19,P23,M2,P2,M3,P18,M4,P29,M5,M6,P4,M7,P1,M8,P12,M9,M10,P14,M11,P21,P13,M12,P26,M13,M14,P7,M15,P28,M16,M17,M18,P22,M19,P17,M20,M21,P30,M22,P8,M23,P20,M24,M25,M26,M27,M28,M29,P16,M30,P5,P3,P6,P9,P10,P11,P15,P24,P25,P27
0.00000,0.00000,0.50500,0.12100,0.00000,0.00300,0.00000,0.26000,0.00000,0.35900,0.00000,0.00000,0.20300,0.00000,0.35500,0.00000,0.16500,0.00000,0.00000,0.06600,0.00000,0.24000,0.09700,0.00000,0.25500,0.00000,0.00000,0.00800,0.00000,0.04100,0.00000,0.00000,0.00000,0.07100,0.00000,0.09700,0.00000,0.00000,0.04600,0.00000,0.04500,0.00000,0.06800,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.31000,0.00000,0.34000,0.12200,0.17500,0.00900,0.35500,0.09300,0.15300,0.08300,0.06700,0.08600
0.20202,4.19611,4.51011,14.29285,3.82391,9.52796,3.61958,6.22500,3.15779,2.20471,3.04963,2.64161,11.17762,2.17960,15.09743,2.98422,3.79686,2.96899,0.71450,15.04450,1.79573,13.30724,9.21023,1.66725,2.65804,3.81079,4.45908,8.79708,4.80146,4.96709,1.15509,2.81575,2.90300,2.09791,2.21244,5.77704,2.48155,3.55262,8.66737,0.75036,6.82793,3.97074,4.63067,0.54333,1.05221,0.92644,3.05310,2.48805,0.64661,5.28897,2.03512,10.95261,8.59027,10.44782,6.70279,2.64433,5.78210,15.94802,1.64660,2.60049,6.68441
0.40404,4.78018,30.25632,36.16077,8.60055,43.72020,8.63041,36.58754,3.90745,7.62372,3.78213,3.02855,31.52464,2.34992,41.77179,7.96490,23.60685,7.70638,0.82216,46.00719,2.07114,34.91339,43.47011,5.36251,8.67837,8.33302,6.21039,20.95911,5.59762,31.32622,1.09932,7.55429,7.70062,6.83578,7.08089,34.67208,7.76287,4.23363,21.05886,1.02634,37.90351,3.98112,33.18180,0.83289,1.65740,1.17222,8.08071,6.95974,1.21030,10.77903,2.10981,30.42918,44.05452,25.83990,36.10857,6.95355,16.93271,43.79690,5.55263,10.48558,36.45079
0.60606,4.50608,79.52977,53.51287,12.66499,98.11789,13.08357,90.69229,3.97185,15.54729,3.84883,3.11712,52.18172,2.30680,67.18012,12.65167,63.71452,11.95091,0.82570,81.74751,1.97458,56.44235,97.51678,9.11091,14.32852,12.07712,6.90660,31.89970,5.28740,79.20687,1.02751,11.77655,12.01994,11.59923,11.64762,85.28649,12.96607,4.36590,32.82407,1.09254,93.71509,3.45288,88.15781,0.97224,1.70818,1.14595,12.71458,11.24718,1.61538,15.05129,1.99354,49.85236,104.98191,40.63291,86.80841,11.09549,27.32478,67.81513,10.15537,18.74356,87.65580
0.80808,4.09717,146.47222,65.94418,16.02121,165.83445,16.94590,163.07352,3.83879,25.14951,3.71869,3.11460,70.90230,2.21210,89.08754,16.82031,120.78021,15.53647,0.80920,117.84833,1.81237,76.06837,164.86561,12.41846,18.96948,15.11533,7.13465,41.13727,4.77928,143.75345,0.96472,15.35118,15.73811,15.74017,15.63880,151.31991,17.83775,4.31698,43.45851,1.09415,168.87398,2.94348,164.88297,1.05070,1.62252,1.07612,16.81478,15.11050,1.93185,18.30504,1.84877,67.05247,186.36679,53.94329,152.28703,14.80570,36.01651,85.69176,14.82704,25.64569,153.84893
1.01010,3.69536,225.62892,74.34537,18.77809,241.38098,20.28137,248.74981,3.64073,35.93998,3.51916,3.07439,87.14898,2.10478,107.40001,20.49405,190.55524,18.53533,0.78855,152.34960,1.64740,93.29872,240.36836,15.23459,22.61456,17.56778,7.13140,48.70927,4.26320,220.22648,0.91135,18.34579,18.90917,19.13305,19.08474,227.31552,22.36056,4.19538,52.95225,1.06991,258.28275,2.51713,258.74375,1.09706,1.50577,1.00148,20.41811,18.53219,2.19352,20.74672,1.71127,81.54647,283.71377,65.59949,226.95360,18.06453,42.99684,97.91992,19.30596,30.97370,229.61081
1.21212,3.33800,312.54153,79.64136,21.03877,320.62422,23.15775,343.57316,3.42552,47.59462,3.29696,3.01739,100.89947,1.99868,122.48566,23.72272,269.18823,21.03582,0.76838,184.37511,1.49708,108.09147,320.10333,17.59738,25.39420,19.54271,7.01152,54.78398,3.79082,304.58822,0.86627,20.84521,21.60474,21.80522,22.04828,308.97035,26.54839,4.04585,61.41516,1.03470,357.64726,2.17406,365.70626,1.12430,1.38974,0.93211,23.57793,21.54077,2.41766,22.54805,1.59072,93.35630,393.19308,75.64243,306.47937,20.90547,48.45800,105.49684,23.47198,34.88082,310.72212
1.41414,3.03345,403.68509,82.61343,22.89117,400.53181,25.63669,444.17586,3.21331,59.88263,3.07247,2.95357,112.31730,1.89935,134.81157,26.55698,353.45508,23.11805,0.75019,213.59273,1.36585,120.58801,401.14887,19.56440,27.45516,21.13083,6.83634,59.56133,3.37537,393.54722,0.82830,22.92778,23.89264,23.83531,24.59259,392.99711,30.42169,3.88978,68.98387,0.99539,463.44422,1.90244,482.33213,1.13943,1.28483,0.87076,26.34622,24.17610,2.61430,23.84822,1.48881,102.68381,511.58445,84.19157,387.61972,23.37484,52.63186,109.42631,27.27374,37.60663,393.98268
1.61616,2.78014,496.32763,83.88415,24.40843,478.93615,27.77239,547.86335,3.01300,72.63166,2.85531,2.88817,121.63304,1.80893,144.83496,29.04361,440.75131,24.85085,0.73438,239.96048,1.25368,131.00473,481.37522,21.19392,28.93365,22.40650,6.64043,63.23856,3.01704,484.48780,0.79634,24.66145,25.83293,25.31617,26.77504,476.94254,34.00206,3.73799,75.79155,0.95548,572.82312,1.68910,605.72383,1.14664,1.19383,0.81773,28.77033,26.47938,2.78985,24.75907,1.40441,109.79382,636.19930,91.39461,468.00352,25.51964,55.74096,110.58941,30.69702,39.39081,477.01648
1.81818,2.57306,588.39148,83.93665,25.65089,554.33892,29.61203,652.50712,2.82833,85.70887,2.65011,2.82414,129.09403,1.72797,152.96740,31.22454,529.02184,26.29233,0.72089,263.59268,1.15893,139.58245,559.27073,22.53906,29.94794,23.43019,6.44360,65.99697,2.71134,575.37462,0.76946,26.10389,27.47763,26.33950,28.64612,559.02123,37.31059,3.59597,81.95776,0.91677,683.50552,1.52227,733.45936,1.14859,1.11660,0.77248,30.89246,28.48959,2.94865,25.36997,1.33548,114.96453,764.80615,97.40511,545.94793,27.38332,57.98305,109.71784,33.74845,40.44548,558.10205
