Time	p3	p5	p8
0    	1    	1    	1
0.5    	2.9439  1.7646  2.9286
1    	6.4863  3.8176  7.5712
1.5    	9.3186  6.6303  13.4008
2   	11.0879    9.8336   18.8512
2.5   	12.0301   13.2025   22.7169
3   	12.4125   16.6024   24.8902
3.5   	12.4367   19.9550   25.8024
4   	12.2397   23.2160   25.8899
4.5   	11.9106   26.3616   25.4704
5   	11.5068   29.3802   24.7538
5.5   	11.0645   32.2675   23.8739
6   	10.6062   35.0236   22.9135
6.5   	10.1460   37.6510   21.9235
7    	9.6923   40.1538   20.9342
7.5    	9.2503   42.5364   19.9637
8	8.8226   44.8040   19.0221
8.5	8.4110   46.9616   18.1151
9	8.0161   49.0142   17.2451
9.5	7.6381   50.9666   16.4131
10	7.2767   52.8238   15.6187
10.5	6.9315   54.5901   14.8613
11	6.6022   56.2700   14.1396
11.5	6.2882   57.8676   13.4523
12	5.9888   59.3868   12.7980
12.5	5.7034   60.8314   12.1753
13	5.4315   62.2051   11.5826
13.5	5.1725   63.5112   11.0187
14	4.9258   64.7529   10.4821
14.5	4.6908   65.9334    9.9715
15	4.4670   67.0555    9.4858
15.5	4.2540   68.1218    9.0237
16	4.0511   69.1353    8.5841
16.5	3.8579   70.0983    8.1658
17	3.6740   71.0128    7.7680
17.5	3.4989   71.8817    7.3894
18	3.3323   72.7064    7.0294
18.5	3.1736   73.4895    6.6868
19	3.0226   74.2323    6.3610
19.5	2.8788   74.9372    6.0509
20	2.7420   75.6050    5.7561
