Time	p3	p5	p8
0	1	1	1
0.5	3.745535	2.130808	2.762306
1	8.349884	4.909803	7.04264
1.5	12.06885	8.578964	12.56677
2	14.54853	12.68359	18.20217
2.5	16.01771	16.95338	22.82753
3	16.76119	21.22962	25.88884
3.5	17.01025	25.42095	27.51016
4	16.93263	29.47666	28.06392
4.5	16.64448	33.37041	27.90303
5	16.22436	37.09043	27.29243
5.5	15.72481	40.63355	26.41416
6	15.18068	44.00162	25.38797
6.5	14.61503	47.19931	24.29067
7	14.043	50.23287	23.17053
7.5	13.47454	53.10925	22.05735
8	12.91609	55.83574	20.96907
8.5	12.37178	58.4196	19.91607
9	11.84416	60.86798	18.90402
9.5	11.33477	63.18778	17.9356
10	10.84441	65.38565	17.01164
10.5	10.37342	67.4679	16.13184
11	9.921806	69.4406	15.29522
11.5	9.489338	71.30947	14.5004
12	9.07565	73.07996	13.74579
12.5	8.680267	74.75724	13.02968
13	8.302648	76.34622	12.35034
13.5	7.94221	77.85153	11.70603
14	7.598344	79.27759	11.09505
14.5	7.27043	80.62855	10.51576
15	6.957844	81.90839	9.96658
15.5	6.659968	83.12083	9.445983
16	6.37619	84.26944	8.952514
16.5	6.10591	85.35757	8.484785
17	5.848545	86.3884	8.041473
17.5	5.603526	87.36495	7.621319
18	5.370305	88.29008	7.223126
18.5	5.148348	89.1665	6.845756
19	4.937144	89.99678	6.488128
19.5	4.736198	90.78333	6.149217
20	4.545036	91.52848	5.828048
