Time	p3	p5	p8
0	1	1	1
0.5	3.529131	1.978367	2.889488
1	7.923386	4.434958	7.503638
1.5	11.331392	7.705201	13.448016
2	13.434167	11.382398	19.310420
2.5	14.547173	15.224012	23.751020
3	14.995652	19.086947	26.399853
3.5	15.019712	22.888224	27.618422
4	14.781580	26.581144	27.872518
4.5	14.386989	30.140834	27.522952
5	13.903584	33.555494	26.814150
5.5	13.374136	36.821091	25.903373
6	12.825428	39.938153	24.889208
6.5	12.274058	42.909827	23.832396
7	11.730169	45.740714	22.769762
7.5	11.199823	48.436164	21.723196
8	10.686513	51.001856	20.705331
8.5	10.192113	53.443553	19.723093
9	9.717478	55.766953	18.779919
9.5	9.262833	57.977609	17.877125
10	8.828002	60.080884	17.014750
10.5	8.412574	62.081929	16.192082
11	8.015989	63.985673	15.407978
11.5	7.637606	65.796822	14.661060
12	7.276743	67.519866	13.949837
12.5	6.932698	69.159081	13.272775
13	6.604769	70.718540	12.628345
13.5	6.292261	72.202120	12.015048
14	5.994498	73.613510	11.431427
14.5	5.710820	74.956222	10.876078
15	5.440589	76.233596	10.347654
15.5	5.183193	77.448811	9.844864
16	4.938039	78.604889	9.366475
16.5	4.704563	79.704708	8.911312
17	4.482220	80.751003	8.478253
17.5	4.270490	81.746377	8.066228
18	4.068876	82.693307	7.674219
18.5	3.876903	83.594148	7.301256
19	3.694116	84.451139	6.946417
19.5	3.520082	85.266412	6.608822
20	3.354385	86.041992	6.287634	
