mRNA1,mRNA2,mRNA3,mRNA4,mRNA5,mRNA6,mRNA7,mRNA8
0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
9.63853,9.94547,10.72932,8.83235,13.21062,8.45048,9.17584,4.80614
48.40930,25.74892,24.83667,20.66870,30.64513,39.82645,18.84058,30.96688
115.02889,39.70005,40.75754,24.74334,47.67236,104.61340,28.24122,83.44890
193.93998,51.64991,51.48621,32.23481,55.65812,165.02560,35.75219,146.83946
264.62273,57.56348,64.95134,39.80908,70.65460,260.14347,40.09825,225.79641
315.21756,68.85212,74.30948,44.25037,79.77684,391.46507,47.37206,334.60356
451.64332,79.09284,79.48618,45.40627,80.70532,473.83021,47.86796,407.07275
574.59526,90.79370,77.01631,48.47393,80.10568,520.86697,49.58148,522.16562
659.97014,88.85116,91.23749,59.34311,91.29532,646.58798,51.03390,608.76338
778.88918,90.51826,98.45281,55.70251,87.17525,747.70096,55.68028,722.15754
857.07206,91.56342,94.42086,58.62170,93.94065,876.62450,54.39425,767.46587
986.08960,89.90468,100.47295,57.39089,90.36521,946.50243,53.26513,861.57178
974.58234,108.39257,90.59666,52.03554,81.30995,1059.35811,56.78480,1018.08621
1105.78744,100.67073,99.63273,56.09665,89.89761,1142.79784,55.68939,1044.78473
1153.12466,106.81632,100.88887,53.31120,92.15519,1191.95376,57.15808,1211.12785
1198.09945,111.54030,98.98604,60.52070,80.87686,1205.80917,53.91364,1246.11968
1296.55283,104.62339,108.52794,55.32911,79.91767,1381.91843,57.72400,1251.68019
1445.93361,105.89834,101.68141,57.99012,78.29711,1382.35324,53.73082,1444.44351
1428.27262,97.81399,104.21803,56.50159,78.39818,1386.96945,57.06981,1370.95699
1405.68916,107.84293,101.58968,54.93980,86.88340,1495.24324,57.94751,1372.40460
1547.70374,96.37771,97.50843,57.97561,76.53199,1593.00636,55.69273,1449.42845
1679.39280,95.85645,97.23288,61.77564,69.75378,1649.35659,54.78965,1470.74999
1637.63660,97.27753,94.97003,58.02361,76.79652,1599.57759,53.67557,1736.41974
1710.24041,96.74372,101.27715,56.93557,69.31278,1704.49044,57.81867,1779.52777
1612.02378,96.25736,104.90850,59.92831,66.11249,1620.67607,55.49133,1596.59697
1831.22596,91.65305,95.20404,59.40207,65.70906,1856.07420,58.35605,1561.78551
1818.15308,96.92328,96.00329,55.35025,72.33144,1640.53268,62.06195,1785.70828
1643.57435,95.47737,100.37319,53.68410,65.46077,1750.90799,56.67178,1733.13775
1846.40848,96.27184,95.83742,53.17355,70.55931,1651.72631,55.23344,1879.31117
1823.70357,94.68459,101.47621,61.61504,67.08752,1792.42780,50.92442,1844.84932
1884.00682,95.27588,95.42852,49.59545,69.78318,1844.60465,50.01260,1812.79499
1820.05399,97.81600,103.98517,54.91401,70.75256,1979.17087,56.73440,1837.15237
1927.14360,90.52922,104.81265,58.21139,69.86553,2011.67196,54.92512,2034.17917
1939.03528,93.87529,95.42478,52.33116,65.49545,1689.19119,53.30571,1812.53064
1851.87526,100.49878,95.56173,60.22841,59.69954,1838.86462,54.83507,1955.45369
1783.71495,92.93624,93.56239,55.30128,60.66460,1958.58658,56.08321,1919.84654
2060.38453,99.47152,98.60991,52.23877,62.28658,1913.49489,56.38995,2150.01320
1823.74085,97.84781,96.21709,51.15652,63.99033,2049.12197,56.43983,1896.17000
2021.90104,97.69389,96.15138,57.47029,58.68825,1836.26459,49.48717,1912.39504
1874.34981,91.55182,107.44297,56.99063,57.04336,2028.36882,55.36540,2091.03655
2167.07019,93.19127,89.39636,53.30631,59.92448,1942.41816,54.93790,2001.51872
1887.45751,104.78572,100.21175,51.84635,61.75358,1915.23339,49.20962,2064.78554
2066.49103,94.19027,91.53578,48.99942,54.95095,2079.26572,53.77845,1895.32937
1938.17217,92.50088,96.31777,45.10122,60.67797,2041.20760,55.73823,2001.70568
2123.01433,94.38388,98.05298,53.15891,57.40499,1976.79106,53.30650,2012.28771
2087.97512,92.03651,106.38550,54.63381,56.75791,2263.80390,49.42057,2082.88158
2018.89506,101.01234,100.80623,56.08003,58.16104,2047.27579,53.34757,1800.06547
2206.69957,97.96144,95.34736,53.07413,60.39035,2102.74005,55.89182,2223.86606
2118.54289,93.37466,95.49202,52.94118,53.98370,2027.72335,55.80355,2011.96879
2080.82420,90.85852,90.82079,52.48574,56.66470,2032.14305,54.15883,2038.76823
2144.58301,99.35878,94.86914,55.34291,59.67958,1975.59244,56.68998,2108.34045
1986.09219,99.58298,93.12165,52.96667,58.02704,2129.53651,55.44818,1916.79963
2205.18155,94.09666,94.68637,52.21780,55.51572,2275.87713,58.29136,2199.83925
1970.47953,94.64279,97.29627,46.25123,57.97905,2109.95928,53.67541,2085.72142
2073.03697,101.95855,99.14388,51.74443,53.17494,2119.75365,54.21470,2019.57831
1878.94481,95.62980,97.78219,54.75216,53.47885,2137.48055,51.98029,2016.91984
2008.19497,96.41224,96.10922,48.34408,56.26305,1905.27971,54.36187,2113.75028
1977.42981,92.85327,98.34552,49.12390,57.84090,2187.26361,56.22565,2016.32508
1985.29450,89.37563,96.99040,53.75300,53.75300,1946.45797,48.19379,2084.85288
2176.22623,95.94107,100.03950,51.60536,57.13082,2079.70902,53.89392,2091.42393
1771.33724,97.70875,100.38016,56.97668,56.28949,2151.58964,55.05881,2062.85147
1950.49324,104.36400,90.80518,53.08779,53.65689,2149.16506,49.53823,2070.83203
2064.19650,96.49709,91.49055,53.85630,55.61137,2231.05710,56.83496,1957.77757
1879.02310,93.30745,93.73330,59.47475,61.71121,1997.84090,54.67395,2102.50799
2055.89313,93.89509,88.01981,53.64309,56.83344,1996.88217,59.41430,1985.24625
2022.66464,91.20941,89.89362,55.79401,58.36837,1994.20647,54.19013,2020.46139
2156.75309,93.13972,91.75528,52.56782,56.09057,2021.78812,57.94558,2252.04270
2029.58801,92.34678,95.88558,56.57115,51.78177,1909.44739,53.92045,1992.16048
2125.99120,96.66491,93.38261,51.94915,57.21661,2049.56781,54.59741,2035.30344
2028.96963,97.27222,96.90676,53.86842,52.81423,2197.25506,55.84823,2048.96595
2048.62899,85.84310,91.35010,57.30170,55.95899,2044.10578,55.01181,1960.79142
2107.23638,91.06314,109.87418,51.69287,58.16571,1973.59289,56.99960,2027.42686
1957.92210,93.58071,99.17635,54.00022,55.52628,2201.42428,57.31051,2137.69556
2214.13818,85.58600,92.24588,55.38939,52.86888,1937.21888,58.32294,1972.23789
2007.71523,99.46134,100.32876,51.64222,55.26917,2140.89925,49.48745,2035.50711
1944.18383,93.48742,89.83633,52.45978,59.78555,1900.11081,57.37600,2076.32206
2151.18528,100.45879,98.12238,56.59376,54.03872,2058.21132,53.37976,2095.75597
2149.06160,85.62342,98.15096,52.97365,59.13476,2202.50743,56.10667,2059.49788
2109.78322,99.74349,89.06308,53.43880,53.91227,2096.30044,51.35115,1977.13995
2119.40541,94.62644,104.25783,54.96493,58.44336,1841.52189,53.18514,2040.89643
1991.16944,97.32207,91.55447,49.10229,51.14142,1767.99898,50.70021,2081.12296
2089.21360,90.48616,97.01041,55.19245,55.79447,2051.78429,53.71977,1901.17183
2129.21186,99.86790,93.06920,52.68373,54.02702,2046.75037,55.46764,2094.97976
2051.04171,95.01150,92.62317,56.61827,63.12794,2015.69694,52.16178,2088.40692
2017.22997,94.18602,95.18650,51.86946,53.63332,2003.17930,53.40035,1998.51666
1901.96465,90.31646,92.52918,50.76348,54.13276,2032.69228,49.96447,2114.90549
2144.85197,94.41361,105.24068,54.51118,49.33120,2252.94026,50.81576,2049.49189
1960.12002,90.44161,89.02796,55.20526,56.07344,1855.90081,53.39321,1897.48971
2194.21596,83.47384,99.43592,55.50643,56.34900,2178.68306,53.08750,1932.57846
1982.45409,92.92406,96.45220,55.23356,57.74157,2150.54025,53.48848,2044.02704
1945.12255,88.84544,89.00211,52.04802,54.50527,1917.18866,47.25202,1899.74113
2107.70666,90.46665,94.63645,54.41114,56.20902,2083.26328,54.63528,2093.76932
2171.75257,98.48216,94.75259,52.68348,52.56696,2075.70527,49.84946,2020.79596
2113.54369,98.15402,96.44303,56.24943,55.06033,2032.96570,56.59954,2065.34340
1952.01011,90.11540,97.60056,51.70632,57.91542,2178.14870,48.74980,1999.92731
2109.16625,98.37042,98.17816,50.21419,57.08446,1845.30579,50.47772,2226.70089
2096.92108,95.82828,98.96552,52.50077,60.61610,2013.14100,50.25157,2050.39490
1962.08182,93.86483,91.45352,50.03224,55.16343,1934.36715,56.53209,2243.61573
2205.06216,97.62144,102.73937,52.31700,55.26720,2073.45414,56.62297,2145.49340
2109.74938,99.05185,104.66180,54.86818,57.19601,2131.35750,51.51785,1966.89761
1913.37481,92.03625,95.33007,54.33534,55.93776,2032.18471,54.24730,1985.95287
1896.57092,95.87435,93.23865,51.35429,53.77310,1990.11897,54.87564,2233.67299
2149.74621,87.92915,105.26265,51.87466,55.39402,1895.50724,50.47901,1940.92694
2075.14077,94.42806,98.53980,53.02107,55.25641,2029.41146,51.92690,1950.01589
1974.53834,101.43307,102.56296,53.94516,53.62708,2124.83328,48.61805,2090.70019
1911.68328,91.39364,95.92472,51.78041,55.25280,2104.54510,45.49247,2081.09411
2008.53175,90.87023,95.75834,54.39845,54.67343,2112.24173,54.02727,1955.50464
2098.19369,90.42451,89.40058,49.74292,53.93911,1858.95317,54.93293,2071.00218
1816.89056,88.92904,97.01610,52.70197,57.17868,1789.79797,55.75726,2076.20408
2145.33831,95.95598,98.69350,54.49117,58.49154,2200.83808,58.12231,2071.23527
1851.76943,95.05609,100.93876,53.84808,54.35806,2011.03489,51.84904,1991.32339
2206.22160,97.49818,94.82530,60.05482,56.51530,2106.27653,53.22979,1965.92265
1955.80057,93.71122,94.09549,50.74214,52.77399,1992.73929,49.79094,2139.26218
2081.63533,93.10766,93.52965,45.86260,57.67030,1977.49982,51.12148,1934.30521
2003.50040,89.78414,89.14553,57.19692,52.34864,2092.94685,54.18931,1999.88230
2106.61774,95.51753,91.72118,52.42751,57.79903,2067.77760,51.23793,1989.54808
1983.44945,102.27560,90.07270,56.20787,59.33082,2020.98156,58.67613,2075.43840
2215.43514,86.80932,92.61217,58.43873,53.27038,2074.47438,51.25351,2068.07341
2073.83253,95.16778,91.17457,56.83019,56.79317,2143.97006,58.78714,1878.95615
2023.75522,97.38310,98.89301,51.26971,56.87108,2162.05913,53.91992,2174.01248
2116.38976,91.49170,93.62801,57.54172,56.35615,1848.07795,54.78954,2124.82861
2177.77788,93.66008,92.37306,56.38572,55.28560,2068.99507,51.17059,2009.19944
1977.76532,93.12409,98.43504,56.04859,56.68787,2033.60237,51.60562,1876.09248
1822.04936,96.29719,101.72798,54.38714,58.36674,2096.42854,54.17781,1998.32793
2237.53968,98.01118,95.36465,58.40217,56.30629,2215.34207,53.08610,2129.84866
